topic_idx,pola,topic_words
topic_12,0.640947379,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_10,0.497310349,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_1,0.360393373,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_9,0.463256593,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_2,0.377437204,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_30,0.336425417,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_11,0.312909567,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_33,0.30365119,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_8,0.298642098,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_27,0.288503974,"year,company,market,stock,price,drop,month,business,global,sale"